date	doctorants	étudiants	entrepreneurs	institutions	chercheurs	artistes	habitants	startup	associations	collectivités	industriels
24-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.4229166666667	2.8145833333333	0	0.175	0	0	0
25-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.4229166666667	2.8145833333333	0	0.175	0	0	0
26-Feb-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
02-Mar-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
02-Mar-15	6.25625	16.347916666667	7.7466666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
03-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
04-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
09-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
10-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	7.7729166666667	2.8145833333333	0	0.175	0.35	0	0
11-Mar-15	6.25625	16.487916666667	7.8866666666667	14.501666666667	9.1729166666667	2.8145833333333	0	0.175	0.35	0	0
12-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
13-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
16-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
18-Mar-15	6.25625	16.487916666667	7.8866666666667	14.571666666667	9.2429166666667	2.8145833333333	0	0.175	0.35	0	0
19-Mar-15	6.43125	16.487916666667	8.0616666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
20-Mar-15	6.43125	16.487916666667	8.0616666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
23-Mar-15	6.43125	16.487916666667	8.0616666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
24-Mar-15	6.43125	16.487916666667	8.4116666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
25-Mar-15	6.43125	16.487916666667	8.4116666666667	14.571666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
30-Mar-15	6.43125	16.487916666667	8.4116666666667	14.921666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
30-Mar-15	6.43125	16.487916666667	8.4116666666667	14.921666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
01-Apr-15	6.43125	16.487916666667	8.4116666666667	14.921666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
07-Apr-15	6.43125	16.487916666667	8.4116666666667	14.921666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
08-Apr-15	6.43125	16.487916666667	8.4116666666667	14.921666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
09-Apr-15	6.43125	16.487916666667	8.4116666666667	14.921666666667	9.4179166666667	2.8145833333333	0	0.175	0.35	0	0
10-Apr-15	6.95625	16.487916666667	8.4116666666667	14.921666666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
13-Apr-15	6.95625	16.487916666667	8.4116666666667	14.921666666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
14-Apr-15	6.95625	16.487916666667	8.4116666666667	14.921666666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
15-Apr-15	6.95625	16.487916666667	8.4116666666667	14.921666666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
20-Apr-15	6.95625	16.487916666667	8.4116666666667	14.921666666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
21-Apr-15	6.95625	16.487916666667	8.6741666666667	15.184166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
22-Apr-15	6.95625	16.487916666667	8.6741666666667	15.184166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
23-Apr-15	6.95625	16.487916666667	9.0241666666667	15.534166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
27-Apr-15	6.95625	16.487916666667	9.3741666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
29-Apr-15	6.95625	16.487916666667	9.3741666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
02-May-15	6.95625	16.487916666667	9.3741666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
04-May-15	6.95625	16.487916666667	9.3741666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
05-May-15	6.95625	16.487916666667	9.3741666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
06-May-15	6.95625	16.697916666667	9.5841666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
06-May-15	6.95625	16.697916666667	9.5841666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
07-May-15	6.95625	16.697916666667	9.5841666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
11-May-15	6.95625	16.697916666667	9.5841666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
13-May-15	6.95625	16.697916666667	9.5841666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
18-May-15	6.95625	16.697916666667	9.5841666666667	15.884166666667	9.9429166666667	2.8145833333333	0	0.175	0.35	0	0
19-May-15	6.95625	18.010416666667	10.896666666667	15.884166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
20-May-15	6.95625	18.010416666667	10.896666666667	15.884166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
21-May-15	6.95625	18.010416666667	10.896666666667	16.584166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
21-May-15	6.95625	18.010416666667	10.896666666667	16.584166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
25-May-15	6.95625	18.010416666667	10.896666666667	16.584166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
26-May-15	6.95625	18.010416666667	10.896666666667	16.584166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
27-May-15	6.95625	18.010416666667	10.896666666667	16.584166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
01-Jun-15	6.95625	18.010416666667	10.896666666667	16.584166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
02-Jun-15	6.95625	18.447916666667	11.334166666667	16.584166666667	11.255416666667	2.8145833333333	0	1.4875	0.35	0	0
03-Jun-15	6.95625	18.447916666667	11.334166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
03-Jun-15	6.95625	18.447916666667	11.334166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
04-Jun-15	6.95625	18.447916666667	11.334166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
05-Jun-15	6.95625	19.322916666667	12.209166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
08-Jun-15	6.95625	19.322916666667	12.209166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
09-Jun-15	6.95625	19.322916666667	12.209166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
10-Jun-15	6.95625	19.322916666667	12.209166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
10-Jun-15	6.95625	19.322916666667	12.209166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
11-Jun-15	6.95625	19.322916666667	12.209166666667	16.584166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
12-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
15-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
16-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
17-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
17-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
18-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
22-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
22-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
23-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
23-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	11.605416666667	2.8145833333333	0	1.4875	0.35	0	0
24-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	14.405416666667	2.8145833333333	0	1.4875	0.35	0	0
24-Jun-15	6.95625	19.322916666667	12.559166666667	16.934166666667	14.405416666667	2.8145833333333	0	1.4875	0.35	0	0
25-Jun-15	6.95625	19.672916666667	12.559166666667	16.934166666667	14.755416666667	2.8145833333333	0	1.4875	0.35	0	0
26-Jun-15	6.95625	19.672916666667	12.559166666667	16.934166666667	14.755416666667	2.8145833333333	0	1.4875	0.35	0	0
